id,skill_set,subcategory
0,"('consulting', 'advising', 'career-growth')","Self Improvement
"
1,"('consulting', 'advising', 'career-growth')","Create Business & Startup
"
2,"('consulting', 'advising', 'career-growth')","Finance & Accounting
"
3,"('consulting', 'advising', 'career-growth')","Company’s Trade Registration 
"
4,"('consulting', 'advising', 'career-growth')","Marketing
"
5,"('consulting', 'advising', 'career-growth')","Branding
"
6,"('consulting', 'advising', 'career-growth')",Law
7,"('consulting', 'advising', 'startup')","Self Improvement
"
8,"('consulting', 'advising', 'startup')","Create Business & Startup
"
9,"('consulting', 'advising', 'startup')","Finance & Accounting
"
10,"('consulting', 'advising', 'startup')","Company’s Trade Registration 
"
11,"('consulting', 'advising', 'startup')","Marketing
"
12,"('consulting', 'advising', 'startup')","Branding
"
13,"('consulting', 'advising', 'startup')",Law
14,"('consulting', 'advising', 'financial-modeling')","Self Improvement
"
15,"('consulting', 'advising', 'financial-modeling')","Create Business & Startup
"
16,"('consulting', 'advising', 'financial-modeling')","Finance & Accounting
"
17,"('consulting', 'advising', 'financial-modeling')","Company’s Trade Registration 
"
18,"('consulting', 'advising', 'financial-modeling')","Marketing
"
19,"('consulting', 'advising', 'financial-modeling')","Branding
"
20,"('consulting', 'advising', 'financial-modeling')",Law
21,"('consulting', 'advising', 'valuation')","Self Improvement
"
22,"('consulting', 'advising', 'valuation')","Create Business & Startup
"
23,"('consulting', 'advising', 'valuation')","Finance & Accounting
"
24,"('consulting', 'advising', 'valuation')","Company’s Trade Registration 
"
25,"('consulting', 'advising', 'valuation')","Marketing
"
26,"('consulting', 'advising', 'valuation')","Branding
"
27,"('consulting', 'advising', 'valuation')",Law
28,"('consulting', 'advising', 'investment-banking')","Self Improvement
"
29,"('consulting', 'advising', 'investment-banking')","Create Business & Startup
"
30,"('consulting', 'advising', 'investment-banking')","Finance & Accounting
"
31,"('consulting', 'advising', 'investment-banking')","Company’s Trade Registration 
"
32,"('consulting', 'advising', 'investment-banking')","Marketing
"
33,"('consulting', 'advising', 'investment-banking')","Branding
"
34,"('consulting', 'advising', 'investment-banking')",Law
35,"('consulting', 'advising', 'business-valuation')","Self Improvement
"
36,"('consulting', 'advising', 'business-valuation')","Create Business & Startup
"
37,"('consulting', 'advising', 'business-valuation')","Finance & Accounting
"
38,"('consulting', 'advising', 'business-valuation')","Company’s Trade Registration 
"
39,"('consulting', 'advising', 'business-valuation')","Marketing
"
40,"('consulting', 'advising', 'business-valuation')","Branding
"
41,"('consulting', 'advising', 'business-valuation')",Law
42,"('consulting', 'career-growth', 'advising')","Self Improvement
"
43,"('consulting', 'career-growth', 'advising')","Create Business & Startup
"
44,"('consulting', 'career-growth', 'advising')","Finance & Accounting
"
45,"('consulting', 'career-growth', 'advising')","Company’s Trade Registration 
"
46,"('consulting', 'career-growth', 'advising')","Marketing
"
47,"('consulting', 'career-growth', 'advising')","Branding
"
48,"('consulting', 'career-growth', 'advising')",Law
49,"('consulting', 'career-growth', 'startup')","Self Improvement
"
50,"('consulting', 'career-growth', 'startup')","Create Business & Startup
"
51,"('consulting', 'career-growth', 'startup')","Finance & Accounting
"
52,"('consulting', 'career-growth', 'startup')","Company’s Trade Registration 
"
53,"('consulting', 'career-growth', 'startup')","Marketing
"
54,"('consulting', 'career-growth', 'startup')","Branding
"
55,"('consulting', 'career-growth', 'startup')",Law
56,"('consulting', 'career-growth', 'financial-modeling')","Self Improvement
"
57,"('consulting', 'career-growth', 'financial-modeling')","Create Business & Startup
"
58,"('consulting', 'career-growth', 'financial-modeling')","Finance & Accounting
"
59,"('consulting', 'career-growth', 'financial-modeling')","Company’s Trade Registration 
"
60,"('consulting', 'career-growth', 'financial-modeling')","Marketing
"
61,"('consulting', 'career-growth', 'financial-modeling')","Branding
"
62,"('consulting', 'career-growth', 'financial-modeling')",Law
63,"('consulting', 'career-growth', 'valuation')","Self Improvement
"
64,"('consulting', 'career-growth', 'valuation')","Create Business & Startup
"
65,"('consulting', 'career-growth', 'valuation')","Finance & Accounting
"
66,"('consulting', 'career-growth', 'valuation')","Company’s Trade Registration 
"
67,"('consulting', 'career-growth', 'valuation')","Marketing
"
68,"('consulting', 'career-growth', 'valuation')","Branding
"
69,"('consulting', 'career-growth', 'valuation')",Law
70,"('consulting', 'career-growth', 'investment-banking')","Self Improvement
"
71,"('consulting', 'career-growth', 'investment-banking')","Create Business & Startup
"
72,"('consulting', 'career-growth', 'investment-banking')","Finance & Accounting
"
73,"('consulting', 'career-growth', 'investment-banking')","Company’s Trade Registration 
"
74,"('consulting', 'career-growth', 'investment-banking')","Marketing
"
75,"('consulting', 'career-growth', 'investment-banking')","Branding
"
76,"('consulting', 'career-growth', 'investment-banking')",Law
77,"('consulting', 'career-growth', 'business-valuation')","Self Improvement
"
78,"('consulting', 'career-growth', 'business-valuation')","Create Business & Startup
"
79,"('consulting', 'career-growth', 'business-valuation')","Finance & Accounting
"
80,"('consulting', 'career-growth', 'business-valuation')","Company’s Trade Registration 
"
81,"('consulting', 'career-growth', 'business-valuation')","Marketing
"
82,"('consulting', 'career-growth', 'business-valuation')","Branding
"
83,"('consulting', 'career-growth', 'business-valuation')",Law
84,"('consulting', 'startup', 'advising')","Self Improvement
"
85,"('consulting', 'startup', 'advising')","Create Business & Startup
"
86,"('consulting', 'startup', 'advising')","Finance & Accounting
"
87,"('consulting', 'startup', 'advising')","Company’s Trade Registration 
"
88,"('consulting', 'startup', 'advising')","Marketing
"
89,"('consulting', 'startup', 'advising')","Branding
"
90,"('consulting', 'startup', 'advising')",Law
91,"('consulting', 'startup', 'career-growth')","Self Improvement
"
92,"('consulting', 'startup', 'career-growth')","Create Business & Startup
"
93,"('consulting', 'startup', 'career-growth')","Finance & Accounting
"
94,"('consulting', 'startup', 'career-growth')","Company’s Trade Registration 
"
95,"('consulting', 'startup', 'career-growth')","Marketing
"
96,"('consulting', 'startup', 'career-growth')","Branding
"
97,"('consulting', 'startup', 'career-growth')",Law
98,"('consulting', 'startup', 'financial-modeling')","Self Improvement
"
99,"('consulting', 'startup', 'financial-modeling')","Create Business & Startup
"
100,"('consulting', 'startup', 'financial-modeling')","Finance & Accounting
"
101,"('consulting', 'startup', 'financial-modeling')","Company’s Trade Registration 
"
102,"('consulting', 'startup', 'financial-modeling')","Marketing
"
103,"('consulting', 'startup', 'financial-modeling')","Branding
"
104,"('consulting', 'startup', 'financial-modeling')",Law
105,"('consulting', 'startup', 'valuation')","Self Improvement
"
106,"('consulting', 'startup', 'valuation')","Create Business & Startup
"
107,"('consulting', 'startup', 'valuation')","Finance & Accounting
"
108,"('consulting', 'startup', 'valuation')","Company’s Trade Registration 
"
109,"('consulting', 'startup', 'valuation')","Marketing
"
110,"('consulting', 'startup', 'valuation')","Branding
"
111,"('consulting', 'startup', 'valuation')",Law
112,"('consulting', 'startup', 'investment-banking')","Self Improvement
"
113,"('consulting', 'startup', 'investment-banking')","Create Business & Startup
"
114,"('consulting', 'startup', 'investment-banking')","Finance & Accounting
"
115,"('consulting', 'startup', 'investment-banking')","Company’s Trade Registration 
"
116,"('consulting', 'startup', 'investment-banking')","Marketing
"
117,"('consulting', 'startup', 'investment-banking')","Branding
"
118,"('consulting', 'startup', 'investment-banking')",Law
119,"('consulting', 'startup', 'business-valuation')","Self Improvement
"
120,"('consulting', 'startup', 'business-valuation')","Create Business & Startup
"
121,"('consulting', 'startup', 'business-valuation')","Finance & Accounting
"
122,"('consulting', 'startup', 'business-valuation')","Company’s Trade Registration 
"
123,"('consulting', 'startup', 'business-valuation')","Marketing
"
124,"('consulting', 'startup', 'business-valuation')","Branding
"
125,"('consulting', 'startup', 'business-valuation')",Law
126,"('consulting', 'financial-modeling', 'advising')","Self Improvement
"
127,"('consulting', 'financial-modeling', 'advising')","Create Business & Startup
"
128,"('consulting', 'financial-modeling', 'advising')","Finance & Accounting
"
129,"('consulting', 'financial-modeling', 'advising')","Company’s Trade Registration 
"
130,"('consulting', 'financial-modeling', 'advising')","Marketing
"
131,"('consulting', 'financial-modeling', 'advising')","Branding
"
132,"('consulting', 'financial-modeling', 'advising')",Law
133,"('consulting', 'financial-modeling', 'career-growth')","Self Improvement
"
134,"('consulting', 'financial-modeling', 'career-growth')","Create Business & Startup
"
135,"('consulting', 'financial-modeling', 'career-growth')","Finance & Accounting
"
136,"('consulting', 'financial-modeling', 'career-growth')","Company’s Trade Registration 
"
137,"('consulting', 'financial-modeling', 'career-growth')","Marketing
"
138,"('consulting', 'financial-modeling', 'career-growth')","Branding
"
139,"('consulting', 'financial-modeling', 'career-growth')",Law
140,"('consulting', 'financial-modeling', 'startup')","Self Improvement
"
141,"('consulting', 'financial-modeling', 'startup')","Create Business & Startup
"
142,"('consulting', 'financial-modeling', 'startup')","Finance & Accounting
"
143,"('consulting', 'financial-modeling', 'startup')","Company’s Trade Registration 
"
144,"('consulting', 'financial-modeling', 'startup')","Marketing
"
145,"('consulting', 'financial-modeling', 'startup')","Branding
"
146,"('consulting', 'financial-modeling', 'startup')",Law
147,"('consulting', 'financial-modeling', 'valuation')","Self Improvement
"
148,"('consulting', 'financial-modeling', 'valuation')","Create Business & Startup
"
149,"('consulting', 'financial-modeling', 'valuation')","Finance & Accounting
"
150,"('consulting', 'financial-modeling', 'valuation')","Company’s Trade Registration 
"
151,"('consulting', 'financial-modeling', 'valuation')","Marketing
"
152,"('consulting', 'financial-modeling', 'valuation')","Branding
"
153,"('consulting', 'financial-modeling', 'valuation')",Law
154,"('consulting', 'financial-modeling', 'investment-banking')","Self Improvement
"
155,"('consulting', 'financial-modeling', 'investment-banking')","Create Business & Startup
"
156,"('consulting', 'financial-modeling', 'investment-banking')","Finance & Accounting
"
157,"('consulting', 'financial-modeling', 'investment-banking')","Company’s Trade Registration 
"
158,"('consulting', 'financial-modeling', 'investment-banking')","Marketing
"
159,"('consulting', 'financial-modeling', 'investment-banking')","Branding
"
160,"('consulting', 'financial-modeling', 'investment-banking')",Law
161,"('consulting', 'financial-modeling', 'business-valuation')","Self Improvement
"
162,"('consulting', 'financial-modeling', 'business-valuation')","Create Business & Startup
"
163,"('consulting', 'financial-modeling', 'business-valuation')","Finance & Accounting
"
164,"('consulting', 'financial-modeling', 'business-valuation')","Company’s Trade Registration 
"
165,"('consulting', 'financial-modeling', 'business-valuation')","Marketing
"
166,"('consulting', 'financial-modeling', 'business-valuation')","Branding
"
167,"('consulting', 'financial-modeling', 'business-valuation')",Law
168,"('consulting', 'valuation', 'advising')","Self Improvement
"
169,"('consulting', 'valuation', 'advising')","Create Business & Startup
"
170,"('consulting', 'valuation', 'advising')","Finance & Accounting
"
171,"('consulting', 'valuation', 'advising')","Company’s Trade Registration 
"
172,"('consulting', 'valuation', 'advising')","Marketing
"
173,"('consulting', 'valuation', 'advising')","Branding
"
174,"('consulting', 'valuation', 'advising')",Law
175,"('consulting', 'valuation', 'career-growth')","Self Improvement
"
176,"('consulting', 'valuation', 'career-growth')","Create Business & Startup
"
177,"('consulting', 'valuation', 'career-growth')","Finance & Accounting
"
178,"('consulting', 'valuation', 'career-growth')","Company’s Trade Registration 
"
179,"('consulting', 'valuation', 'career-growth')","Marketing
"
180,"('consulting', 'valuation', 'career-growth')","Branding
"
181,"('consulting', 'valuation', 'career-growth')",Law
182,"('consulting', 'valuation', 'startup')","Self Improvement
"
183,"('consulting', 'valuation', 'startup')","Create Business & Startup
"
184,"('consulting', 'valuation', 'startup')","Finance & Accounting
"
185,"('consulting', 'valuation', 'startup')","Company’s Trade Registration 
"
186,"('consulting', 'valuation', 'startup')","Marketing
"
187,"('consulting', 'valuation', 'startup')","Branding
"
188,"('consulting', 'valuation', 'startup')",Law
189,"('consulting', 'valuation', 'financial-modeling')","Self Improvement
"
190,"('consulting', 'valuation', 'financial-modeling')","Create Business & Startup
"
191,"('consulting', 'valuation', 'financial-modeling')","Finance & Accounting
"
192,"('consulting', 'valuation', 'financial-modeling')","Company’s Trade Registration 
"
193,"('consulting', 'valuation', 'financial-modeling')","Marketing
"
194,"('consulting', 'valuation', 'financial-modeling')","Branding
"
195,"('consulting', 'valuation', 'financial-modeling')",Law
196,"('consulting', 'valuation', 'investment-banking')","Self Improvement
"
197,"('consulting', 'valuation', 'investment-banking')","Create Business & Startup
"
198,"('consulting', 'valuation', 'investment-banking')","Finance & Accounting
"
199,"('consulting', 'valuation', 'investment-banking')","Company’s Trade Registration 
"
200,"('consulting', 'valuation', 'investment-banking')","Marketing
"
201,"('consulting', 'valuation', 'investment-banking')","Branding
"
202,"('consulting', 'valuation', 'investment-banking')",Law
203,"('consulting', 'valuation', 'business-valuation')","Self Improvement
"
204,"('consulting', 'valuation', 'business-valuation')","Create Business & Startup
"
205,"('consulting', 'valuation', 'business-valuation')","Finance & Accounting
"
206,"('consulting', 'valuation', 'business-valuation')","Company’s Trade Registration 
"
207,"('consulting', 'valuation', 'business-valuation')","Marketing
"
208,"('consulting', 'valuation', 'business-valuation')","Branding
"
209,"('consulting', 'valuation', 'business-valuation')",Law
210,"('consulting', 'investment-banking', 'advising')","Self Improvement
"
211,"('consulting', 'investment-banking', 'advising')","Create Business & Startup
"
212,"('consulting', 'investment-banking', 'advising')","Finance & Accounting
"
213,"('consulting', 'investment-banking', 'advising')","Company’s Trade Registration 
"
214,"('consulting', 'investment-banking', 'advising')","Marketing
"
215,"('consulting', 'investment-banking', 'advising')","Branding
"
216,"('consulting', 'investment-banking', 'advising')",Law
217,"('consulting', 'investment-banking', 'career-growth')","Self Improvement
"
218,"('consulting', 'investment-banking', 'career-growth')","Create Business & Startup
"
219,"('consulting', 'investment-banking', 'career-growth')","Finance & Accounting
"
220,"('consulting', 'investment-banking', 'career-growth')","Company’s Trade Registration 
"
221,"('consulting', 'investment-banking', 'career-growth')","Marketing
"
222,"('consulting', 'investment-banking', 'career-growth')","Branding
"
223,"('consulting', 'investment-banking', 'career-growth')",Law
224,"('consulting', 'investment-banking', 'startup')","Self Improvement
"
225,"('consulting', 'investment-banking', 'startup')","Create Business & Startup
"
226,"('consulting', 'investment-banking', 'startup')","Finance & Accounting
"
227,"('consulting', 'investment-banking', 'startup')","Company’s Trade Registration 
"
228,"('consulting', 'investment-banking', 'startup')","Marketing
"
229,"('consulting', 'investment-banking', 'startup')","Branding
"
230,"('consulting', 'investment-banking', 'startup')",Law
231,"('consulting', 'investment-banking', 'financial-modeling')","Self Improvement
"
232,"('consulting', 'investment-banking', 'financial-modeling')","Create Business & Startup
"
233,"('consulting', 'investment-banking', 'financial-modeling')","Finance & Accounting
"
234,"('consulting', 'investment-banking', 'financial-modeling')","Company’s Trade Registration 
"
235,"('consulting', 'investment-banking', 'financial-modeling')","Marketing
"
236,"('consulting', 'investment-banking', 'financial-modeling')","Branding
"
237,"('consulting', 'investment-banking', 'financial-modeling')",Law
238,"('consulting', 'investment-banking', 'valuation')","Self Improvement
"
239,"('consulting', 'investment-banking', 'valuation')","Create Business & Startup
"
240,"('consulting', 'investment-banking', 'valuation')","Finance & Accounting
"
241,"('consulting', 'investment-banking', 'valuation')","Company’s Trade Registration 
"
242,"('consulting', 'investment-banking', 'valuation')","Marketing
"
243,"('consulting', 'investment-banking', 'valuation')","Branding
"
244,"('consulting', 'investment-banking', 'valuation')",Law
245,"('consulting', 'investment-banking', 'business-valuation')","Self Improvement
"
246,"('consulting', 'investment-banking', 'business-valuation')","Create Business & Startup
"
247,"('consulting', 'investment-banking', 'business-valuation')","Finance & Accounting
"
248,"('consulting', 'investment-banking', 'business-valuation')","Company’s Trade Registration 
"
249,"('consulting', 'investment-banking', 'business-valuation')","Marketing
"
250,"('consulting', 'investment-banking', 'business-valuation')","Branding
"
251,"('consulting', 'investment-banking', 'business-valuation')",Law
252,"('consulting', 'business-valuation', 'advising')","Self Improvement
"
253,"('consulting', 'business-valuation', 'advising')","Create Business & Startup
"
254,"('consulting', 'business-valuation', 'advising')","Finance & Accounting
"
255,"('consulting', 'business-valuation', 'advising')","Company’s Trade Registration 
"
256,"('consulting', 'business-valuation', 'advising')","Marketing
"
257,"('consulting', 'business-valuation', 'advising')","Branding
"
258,"('consulting', 'business-valuation', 'advising')",Law
259,"('consulting', 'business-valuation', 'career-growth')","Self Improvement
"
260,"('consulting', 'business-valuation', 'career-growth')","Create Business & Startup
"
261,"('consulting', 'business-valuation', 'career-growth')","Finance & Accounting
"
262,"('consulting', 'business-valuation', 'career-growth')","Company’s Trade Registration 
"
263,"('consulting', 'business-valuation', 'career-growth')","Marketing
"
264,"('consulting', 'business-valuation', 'career-growth')","Branding
"
265,"('consulting', 'business-valuation', 'career-growth')",Law
266,"('consulting', 'business-valuation', 'startup')","Self Improvement
"
267,"('consulting', 'business-valuation', 'startup')","Create Business & Startup
"
268,"('consulting', 'business-valuation', 'startup')","Finance & Accounting
"
269,"('consulting', 'business-valuation', 'startup')","Company’s Trade Registration 
"
270,"('consulting', 'business-valuation', 'startup')","Marketing
"
271,"('consulting', 'business-valuation', 'startup')","Branding
"
272,"('consulting', 'business-valuation', 'startup')",Law
273,"('consulting', 'business-valuation', 'financial-modeling')","Self Improvement
"
