id,skill_set,subcategory
0,"('ux', 'ui', 'adobe-illustrator')","Advertising Banner
"
1,"('ux', 'ui', 'adobe-illustrator')","Dicut & Photoshop
"
2,"('ux', 'ui', 'adobe-illustrator')","Illustration
"
3,"('ux', 'ui', 'adobe-illustrator')","Character Design
"
4,"('ux', 'ui', 'adobe-illustrator')","3D & Perspective
"
5,"('ux', 'ui', 'adobe-illustrator')","Label & Packaging
"
6,"('ux', 'ui', 'adobe-illustrator')","Portfolio & Resume
"
7,"('ux', 'ui', 'adobe-illustrator')","T-Shirt & Pattern
"
8,"('ux', 'ui', 'adobe-illustrator')","UI & UX Design
"
9,"('ux', 'ui', 'adobe-illustrator')","Logo
"
10,"('ux', 'ui', 'adobe-illustrator')","Presentation
"
11,"('ux', 'ui', 'adobe-illustrator')","Line Sticker
"
12,"('ux', 'ui', 'adobe-illustrator')","Portrait Illustration
"
13,"('ux', 'ui', 'adobe-illustrator')","CAD Drawing
"
14,"('ux', 'ui', 'adobe-illustrator')","Infographics
"
15,"('ux', 'ui', 'adobe-illustrator')","Print Media & Business Card
"
16,"('ux', 'ui', 'adobe-illustrator')","Web Design
"
17,"('ux', 'ui', 'adobe-illustrator')",Interior Design
18,"('ux', 'ui', 'adobe-photo')","Advertising Banner
"
19,"('ux', 'ui', 'adobe-photo')","Dicut & Photoshop
"
20,"('ux', 'ui', 'adobe-photo')","Illustration
"
21,"('ux', 'ui', 'adobe-photo')","Character Design
"
22,"('ux', 'ui', 'adobe-photo')","3D & Perspective
"
23,"('ux', 'ui', 'adobe-photo')","Label & Packaging
"
24,"('ux', 'ui', 'adobe-photo')","Portfolio & Resume
"
25,"('ux', 'ui', 'adobe-photo')","T-Shirt & Pattern
"
26,"('ux', 'ui', 'adobe-photo')","UI & UX Design
"
27,"('ux', 'ui', 'adobe-photo')","Logo
"
28,"('ux', 'ui', 'adobe-photo')","Presentation
"
29,"('ux', 'ui', 'adobe-photo')","Line Sticker
"
30,"('ux', 'ui', 'adobe-photo')","Portrait Illustration
"
31,"('ux', 'ui', 'adobe-photo')","CAD Drawing
"
32,"('ux', 'ui', 'adobe-photo')","Infographics
"
33,"('ux', 'ui', 'adobe-photo')","Print Media & Business Card
"
34,"('ux', 'ui', 'adobe-photo')","Web Design
"
35,"('ux', 'ui', 'adobe-photo')",Interior Design
36,"('ux', 'ui', 'adobe-xd')","Advertising Banner
"
37,"('ux', 'ui', 'adobe-xd')","Dicut & Photoshop
"
38,"('ux', 'ui', 'adobe-xd')","Illustration
"
39,"('ux', 'ui', 'adobe-xd')","Character Design
"
40,"('ux', 'ui', 'adobe-xd')","3D & Perspective
"
41,"('ux', 'ui', 'adobe-xd')","Label & Packaging
"
42,"('ux', 'ui', 'adobe-xd')","Portfolio & Resume
"
43,"('ux', 'ui', 'adobe-xd')","T-Shirt & Pattern
"
44,"('ux', 'ui', 'adobe-xd')","UI & UX Design
"
45,"('ux', 'ui', 'adobe-xd')","Logo
"
46,"('ux', 'ui', 'adobe-xd')","Presentation
"
47,"('ux', 'ui', 'adobe-xd')","Line Sticker
"
48,"('ux', 'ui', 'adobe-xd')","Portrait Illustration
"
49,"('ux', 'ui', 'adobe-xd')","CAD Drawing
"
50,"('ux', 'ui', 'adobe-xd')","Infographics
"
51,"('ux', 'ui', 'adobe-xd')","Print Media & Business Card
"
52,"('ux', 'ui', 'adobe-xd')","Web Design
"
53,"('ux', 'ui', 'adobe-xd')",Interior Design
54,"('ux', 'ui', 'adobe-premiere-pro')","Advertising Banner
"
55,"('ux', 'ui', 'adobe-premiere-pro')","Dicut & Photoshop
"
56,"('ux', 'ui', 'adobe-premiere-pro')","Illustration
"
57,"('ux', 'ui', 'adobe-premiere-pro')","Character Design
"
58,"('ux', 'ui', 'adobe-premiere-pro')","3D & Perspective
"
59,"('ux', 'ui', 'adobe-premiere-pro')","Label & Packaging
"
60,"('ux', 'ui', 'adobe-premiere-pro')","Portfolio & Resume
"
61,"('ux', 'ui', 'adobe-premiere-pro')","T-Shirt & Pattern
"
62,"('ux', 'ui', 'adobe-premiere-pro')","UI & UX Design
"
63,"('ux', 'ui', 'adobe-premiere-pro')","Logo
"
64,"('ux', 'ui', 'adobe-premiere-pro')","Presentation
"
65,"('ux', 'ui', 'adobe-premiere-pro')","Line Sticker
"
66,"('ux', 'ui', 'adobe-premiere-pro')","Portrait Illustration
"
67,"('ux', 'ui', 'adobe-premiere-pro')","CAD Drawing
"
68,"('ux', 'ui', 'adobe-premiere-pro')","Infographics
"
69,"('ux', 'ui', 'adobe-premiere-pro')","Print Media & Business Card
"
70,"('ux', 'ui', 'adobe-premiere-pro')","Web Design
"
71,"('ux', 'ui', 'adobe-premiere-pro')",Interior Design
72,"('ux', 'ui', 'adobe-after-effect')","Advertising Banner
"
73,"('ux', 'ui', 'adobe-after-effect')","Dicut & Photoshop
"
74,"('ux', 'ui', 'adobe-after-effect')","Illustration
"
75,"('ux', 'ui', 'adobe-after-effect')","Character Design
"
76,"('ux', 'ui', 'adobe-after-effect')","3D & Perspective
"
77,"('ux', 'ui', 'adobe-after-effect')","Label & Packaging
"
78,"('ux', 'ui', 'adobe-after-effect')","Portfolio & Resume
"
79,"('ux', 'ui', 'adobe-after-effect')","T-Shirt & Pattern
"
80,"('ux', 'ui', 'adobe-after-effect')","UI & UX Design
"
81,"('ux', 'ui', 'adobe-after-effect')","Logo
"
82,"('ux', 'ui', 'adobe-after-effect')","Presentation
"
83,"('ux', 'ui', 'adobe-after-effect')","Line Sticker
"
84,"('ux', 'ui', 'adobe-after-effect')","Portrait Illustration
"
85,"('ux', 'ui', 'adobe-after-effect')","CAD Drawing
"
86,"('ux', 'ui', 'adobe-after-effect')","Infographics
"
87,"('ux', 'ui', 'adobe-after-effect')","Print Media & Business Card
"
88,"('ux', 'ui', 'adobe-after-effect')","Web Design
"
89,"('ux', 'ui', 'adobe-after-effect')",Interior Design
90,"('ux', 'ui', 'final-cut-pro')","Advertising Banner
"
91,"('ux', 'ui', 'final-cut-pro')","Dicut & Photoshop
"
92,"('ux', 'ui', 'final-cut-pro')","Illustration
"
93,"('ux', 'ui', 'final-cut-pro')","Character Design
"
94,"('ux', 'ui', 'final-cut-pro')","3D & Perspective
"
95,"('ux', 'ui', 'final-cut-pro')","Label & Packaging
"
96,"('ux', 'ui', 'final-cut-pro')","Portfolio & Resume
"
97,"('ux', 'ui', 'final-cut-pro')","T-Shirt & Pattern
"
98,"('ux', 'ui', 'final-cut-pro')","UI & UX Design
"
99,"('ux', 'ui', 'final-cut-pro')","Logo
"
100,"('ux', 'ui', 'final-cut-pro')","Presentation
"
101,"('ux', 'ui', 'final-cut-pro')","Line Sticker
"
102,"('ux', 'ui', 'final-cut-pro')","Portrait Illustration
"
103,"('ux', 'ui', 'final-cut-pro')","CAD Drawing
"
104,"('ux', 'ui', 'final-cut-pro')","Infographics
"
105,"('ux', 'ui', 'final-cut-pro')","Print Media & Business Card
"
106,"('ux', 'ui', 'final-cut-pro')","Web Design
"
107,"('ux', 'ui', 'final-cut-pro')",Interior Design
108,"('ux', 'ui', 'adobe-muse')","Advertising Banner
"
109,"('ux', 'ui', 'adobe-muse')","Dicut & Photoshop
"
110,"('ux', 'ui', 'adobe-muse')","Illustration
"
111,"('ux', 'ui', 'adobe-muse')","Character Design
"
112,"('ux', 'ui', 'adobe-muse')","3D & Perspective
"
113,"('ux', 'ui', 'adobe-muse')","Label & Packaging
"
114,"('ux', 'ui', 'adobe-muse')","Portfolio & Resume
"
