id,skill_set,subcategory
0,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Advertisement Page / Web
"
1,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Beauty Review
"
2,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Net-Idol Review
"
3,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Marketing Research
"
4,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Questionnaire
"
5,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","LINE
"
6,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Review
"
7,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Blogger Review
"
8,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","SEO
"
9,"('microsoft-office', 'microsoft-word', 'microsoft-excel')","Data Analyst
"
10,"('microsoft-office', 'microsoft-word', 'microsoft-excel')",Web & Page Admin
11,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Advertisement Page / Web
"
12,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Beauty Review
"
13,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Net-Idol Review
"
14,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Marketing Research
"
15,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Questionnaire
"
16,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","LINE
"
17,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Review
"
18,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Blogger Review
"
19,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","SEO
"
20,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')","Data Analyst
"
21,"('microsoft-office', 'microsoft-word', 'microsoft-powerpoint')",Web & Page Admin
22,"('microsoft-office', 'microsoft-word', 'management')","Advertisement Page / Web
"
23,"('microsoft-office', 'microsoft-word', 'management')","Beauty Review
"
24,"('microsoft-office', 'microsoft-word', 'management')","Net-Idol Review
"
25,"('microsoft-office', 'microsoft-word', 'management')","Marketing Research
"
26,"('microsoft-office', 'microsoft-word', 'management')","Questionnaire
"
