id,skill_set,subcategory
0,"('admin', 'data-entry', 'accounting')","Page & Website Admin
"
1,"('admin', 'data-entry', 'accounting')","Data Entry
"
2,"('admin', 'data-entry', 'accounting')","Telesale
"
3,"('admin', 'data-entry', 'accounting')","Accounting & Tax of Online shop
"
4,"('admin', 'data-entry', 'accounting')","Online shop management
"
5,"('admin', 'data-entry', 'accounting')","Call Center
"
6,"('admin', 'data-entry', 'accounting')",Sale Representative
7,"('admin', 'data-entry', 'call-center')","Page & Website Admin
"
8,"('admin', 'data-entry', 'call-center')","Data Entry
"
9,"('admin', 'data-entry', 'call-center')","Telesale
"
10,"('admin', 'data-entry', 'call-center')","Accounting & Tax of Online shop
"
11,"('admin', 'data-entry', 'call-center')","Online shop management
"
12,"('admin', 'data-entry', 'call-center')","Call Center
"
13,"('admin', 'data-entry', 'call-center')",Sale Representative
14,"('admin', 'data-entry', 'salesman')","Page & Website Admin
"
15,"('admin', 'data-entry', 'salesman')","Data Entry
"
16,"('admin', 'data-entry', 'salesman')","Telesale
"
17,"('admin', 'data-entry', 'salesman')","Accounting & Tax of Online shop
"
18,"('admin', 'data-entry', 'salesman')","Online shop management
"
19,"('admin', 'data-entry', 'salesman')","Call Center
"
20,"('admin', 'data-entry', 'salesman')",Sale Representative
21,"('admin', 'data-entry', 'website-admin')","Page & Website Admin
"
22,"('admin', 'data-entry', 'website-admin')","Data Entry
"
23,"('admin', 'data-entry', 'website-admin')","Telesale
"
24,"('admin', 'data-entry', 'website-admin')","Accounting & Tax of Online shop
"
25,"('admin', 'data-entry', 'website-admin')","Online shop management
"
26,"('admin', 'data-entry', 'website-admin')","Call Center
"
27,"('admin', 'data-entry', 'website-admin')",Sale Representative
28,"('admin', 'data-entry', 'tax')","Page & Website Admin
"
29,"('admin', 'data-entry', 'tax')","Data Entry
"
30,"('admin', 'data-entry', 'tax')","Telesale
"
31,"('admin', 'data-entry', 'tax')","Accounting & Tax of Online shop
"
32,"('admin', 'data-entry', 'tax')","Online shop management
"
33,"('admin', 'data-entry', 'tax')","Call Center
"
34,"('admin', 'data-entry', 'tax')",Sale Representative
35,"('admin', 'data-entry', 'shop-management')","Page & Website Admin
"
36,"('admin', 'data-entry', 'shop-management')","Data Entry
"
37,"('admin', 'data-entry', 'shop-management')","Telesale
"
38,"('admin', 'data-entry', 'shop-management')","Accounting & Tax of Online shop
"
39,"('admin', 'data-entry', 'shop-management')","Online shop management
"
40,"('admin', 'data-entry', 'shop-management')","Call Center
"
41,"('admin', 'data-entry', 'shop-management')",Sale Representative
42,"('admin', 'data-entry', 'telesale')","Page & Website Admin
"
43,"('admin', 'data-entry', 'telesale')","Data Entry
"
44,"('admin', 'data-entry', 'telesale')","Telesale
"
45,"('admin', 'data-entry', 'telesale')","Accounting & Tax of Online shop
"
46,"('admin', 'data-entry', 'telesale')","Online shop management
"
47,"('admin', 'data-entry', 'telesale')","Call Center
"
48,"('admin', 'data-entry', 'telesale')",Sale Representative
49,"('admin', 'accounting', 'data-entry')","Page & Website Admin
"
50,"('admin', 'accounting', 'data-entry')","Data Entry
"
51,"('admin', 'accounting', 'data-entry')","Telesale
"
52,"('admin', 'accounting', 'data-entry')","Accounting & Tax of Online shop
"
53,"('admin', 'accounting', 'data-entry')","Online shop management
"
54,"('admin', 'accounting', 'data-entry')","Call Center
"
55,"('admin', 'accounting', 'data-entry')",Sale Representative
56,"('admin', 'accounting', 'call-center')","Page & Website Admin
"
57,"('admin', 'accounting', 'call-center')","Data Entry
"
58,"('admin', 'accounting', 'call-center')","Telesale
"
59,"('admin', 'accounting', 'call-center')","Accounting & Tax of Online shop
"
60,"('admin', 'accounting', 'call-center')","Online shop management
"
61,"('admin', 'accounting', 'call-center')","Call Center
"
