id,skill_set,subcategory
0,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Photography
"
1,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Motion Graphics
"
2,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Video Production
"
3,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Voice Over
"
4,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Video Editing
"
5,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","Subtitle
"
6,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')","3D & Animation
"
7,"('adobe-illustrator', 'adobe-photoshop', 'adobe-premiere-pro')",Sound Effects
8,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Photography
"
9,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Motion Graphics
"
10,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Video Production
"
11,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Voice Over
"
12,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Video Editing
"
13,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","Subtitle
"
14,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')","3D & Animation
"
15,"('adobe-illustrator', 'adobe-photoshop', 'adobe-after-effect')",Sound Effects
16,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Photography
"
17,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Motion Graphics
"
18,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Video Production
"
19,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Voice Over
"
20,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Video Editing
"
21,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","Subtitle
"
22,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')","3D & Animation
"
23,"('adobe-illustrator', 'adobe-photoshop', 'final-cut-pro')",Sound Effects
24,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Photography
"
25,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Motion Graphics
"
26,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Video Production
"
27,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Voice Over
"
28,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Video Editing
"
29,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","Subtitle
"
30,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')","3D & Animation
"
31,"('adobe-illustrator', 'adobe-photoshop', 'adobe-muse')",Sound Effects
32,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Photography
"
33,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Motion Graphics
"
34,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Video Production
"
35,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Voice Over
"
36,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Video Editing
"
37,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","Subtitle
"
38,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')","3D & Animation
"
39,"('adobe-illustrator', 'adobe-photoshop', 'digital-marketing')",Sound Effects
40,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Photography
"
41,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Motion Graphics
"
42,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Video Production
"
43,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Voice Over
"
44,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Video Editing
"
45,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","Subtitle
"
46,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')","3D & Animation
"
47,"('adobe-illustrator', 'adobe-photoshop', 'adobe-lightroom')",Sound Effects
48,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Photography
"
49,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Motion Graphics
"
