id,skill_set,subcategory
0,"('react-js', 'javascript', 'react-native')","Web Development
"
1,"('react-js', 'javascript', 'react-native')","HTML / CSS
"
2,"('react-js', 'javascript', 'react-native')","Mobile Application
"
3,"('react-js', 'javascript', 'react-native')","Technical Support
"
4,"('react-js', 'javascript', 'react-native')","Wordpress
"
5,"('react-js', 'javascript', 'react-native')","Ecommerce
"
6,"('react-js', 'javascript', 'react-native')",Desktop Application
7,"('react-js', 'javascript', 'wordpress')","Web Development
"
8,"('react-js', 'javascript', 'wordpress')","HTML / CSS
"
9,"('react-js', 'javascript', 'wordpress')","Mobile Application
"
10,"('react-js', 'javascript', 'wordpress')","Technical Support
"
11,"('react-js', 'javascript', 'wordpress')","Wordpress
"
12,"('react-js', 'javascript', 'wordpress')","Ecommerce
"
13,"('react-js', 'javascript', 'wordpress')",Desktop Application
14,"('react-js', 'javascript', 'php')","Web Development
"
15,"('react-js', 'javascript', 'php')","HTML / CSS
"
16,"('react-js', 'javascript', 'php')","Mobile Application
"
17,"('react-js', 'javascript', 'php')","Technical Support
"
18,"('react-js', 'javascript', 'php')","Wordpress
"
19,"('react-js', 'javascript', 'php')","Ecommerce
"
20,"('react-js', 'javascript', 'php')",Desktop Application
21,"('react-js', 'javascript', 'ios')","Web Development
"
22,"('react-js', 'javascript', 'ios')","HTML / CSS
"
23,"('react-js', 'javascript', 'ios')","Mobile Application
"
24,"('react-js', 'javascript', 'ios')","Technical Support
"
25,"('react-js', 'javascript', 'ios')","Wordpress
"
26,"('react-js', 'javascript', 'ios')","Ecommerce
"
27,"('react-js', 'javascript', 'ios')",Desktop Application
28,"('react-js', 'javascript', 'android')","Web Development
"
29,"('react-js', 'javascript', 'android')","HTML / CSS
"
30,"('react-js', 'javascript', 'android')","Mobile Application
"
31,"('react-js', 'javascript', 'android')","Technical Support
"
32,"('react-js', 'javascript', 'android')","Wordpress
"
33,"('react-js', 'javascript', 'android')","Ecommerce
"
34,"('react-js', 'javascript', 'android')",Desktop Application
35,"('react-js', 'javascript', 'data-science')","Web Development
"
36,"('react-js', 'javascript', 'data-science')","HTML / CSS
"
